Название страны,Население,Уровень удовлетворённости жизнью,Категория
Афганистан,41454709,1.36,Ниже медианы
Албания,2811615,5.41,Ниже медианы
Алжир,46164169,5.57,Ниже медианы
Аргентина,45538356,6.40,Выше медианы
Армения,2943346,5.49,Ниже медианы
Австралия,26451074,6.97,Выше медианы
Австрия,9130386,6.81,Выше медианы
Азербайджан,10318161,4.88,Ниже медианы
Бахрейн,1569625,6.03,Выше медианы
Бангладеш,171466945,3.85,Ниже медианы
Беларусь,9115626,5.82,Ниже медианы
Бельгия,11712836,6.91,Выше медианы
Белиз,411073,6.71,Выше медианы
Бенин,14110987,4.36,Ниже медианы
Боливия,12244104,5.87,Выше медианы
Босния и Герцеговина,3185033,6.14,Выше медианы
Ботсвана,2480185,3.44,Ниже медианы
Бразилия,211140678,6.49,Выше медианы
Болгария,6795757,5.55,Ниже медианы
Буркина-Фасо,23025738,4.38,Ниже медианы
Бурунди,13689406,3.77,Ниже медианы
Камбоджа,17423835,4.34,Ниже медианы
Камерун,28372638,4.89,Ниже медианы
Канада,39299053,6.80,Выше медианы
Центральноафриканская Республика,5152373,3.48,Ниже медианы
Чад,19319025,4.38,Ниже медианы
Чили,19658791,6.36,Выше медианы
Китай,1422584878,5.92,Выше медианы
Колумбия,52321104,6.00,Выше медианы
Коморы,850335,3.75,Ниже медианы
Конго,6182830,5.03,Ниже медианы
Коста-Рика,5105469,7.27,Выше медианы
Кот-д’Ивуар,31165592,5.10,Ниже медианы
Хорватия,3895973,5.87,Выше медианы
Кипр,1344937,5.94,Выше медианы
Чехия,10809674,6.78,Выше медианы
Демократическая Республика Конго,105789681,3.47,Ниже медианы
Дания,5948078,7.52,Выше медианы
Доминиканская Республика,11331213,5.85,Выше медианы
Эквадор,17980034,5.96,Выше медианы
Египет,114535724,3.82,Ниже медианы
Сальвадор,6309575,6.49,Выше медианы
Эстония,1367143,6.42,Выше медианы
Эсватини,1230457,3.77,Ниже медианы
Эфиопия,128691654,3.90,Ниже медианы
Финляндия,5601133,7.74,Выше медианы
Франция,66438774,6.59,Выше медианы
Габон,2484739,5.12,Ниже медианы
Гамбия,2697797,4.42,Ниже медианы
Грузия,3807436,5.40,Ниже медианы
Германия,84548184,6.75,Выше медианы
Гана,33787870,4.34,Ниже медианы
Греция,10242850,5.78,Ниже медианы
Гватемала,18124791,6.36,Выше медианы
Гвинея,14405424,4.93,Ниже медианы
Гаити,11637352,3.62,Ниже медианы
Гондурас,10644802,5.96,Выше медианы
Гонконг,7442686,5.49,Ниже медианы
Венгрия,9686418,5.92,Выше медианы
Исландия,387522,7.51,Выше медианы
Индия,1438069540,4.39,Ниже медианы
Индонезия,281190021,5.62,Ниже медианы
Иран,90608663,5.09,Ниже медианы
Ирак,45074010,4.98,Ниже медианы
Ирландия,5196586,6.89,Выше медианы
Израиль,9256261,7.23,Выше медианы
Италия,59499408,6.42,Выше медианы
Ямайка,2839729,5.87,Выше медианы
Япония,124370893,6.15,Выше медианы
Иордания,11439171,4.31,Ниже медианы
Казахстан,20330063,6.38,Выше медианы
Кения,55338953,4.51,Ниже медианы
Косово,1699985,6.66,Выше медианы
Кувейт,4838724,6.63,Выше медианы
Кыргызстан,7073476,5.86,Выше медианы
Лаос,7664955,5.30,Ниже медианы
Латвия,1882336,6.21,Выше медианы
Ливан,5773446,3.19,Ниже медианы
Лесото,2311429,3.76,Ниже медианы
Либерия,5492981,4.28,Ниже медианы
Ливия,7305611,5.82,Ниже медианы
Литва,2854061,6.83,Выше медианы
Люксембург,665058,7.12,Выше медианы
Мадагаскар,31195885,4.16,Ниже медианы
Малави,21104426,3.26,Ниже медианы
Малайзия,35126249,5.96,Выше медианы
Мальдивы,525955,5.20,Ниже медианы
Мали,23769081,4.34,Ниже медианы
Мальта,532921,6.32,Выше медианы
Мавритания,5022397,4.54,Ниже медианы
Маврикий,1273543,5.83,Выше медианы
Мексика,129739713,6.98,Выше медианы
Молдова,3067017,5.82,Ниже медианы
Монголия,3431887,5.83,Выше медианы
Черногория,633503,5.88,Выше медианы
Марокко,37712463,4.62,Ниже медианы
Мозамбик,33635119,5.19,Ниже медианы
Мьянма,54133741,4.32,Ниже медианы
Намибия,2963048,4.91,Ниже медианы
Непал,29694568,5.31,Ниже медианы
Нидерланды,18092473,7.31,Выше медианы
Новая Зеландия,5172791,6.95,Выше медианы
Никарагуа,6823569,6.33,Выше медианы
Нигер,26159817,4.72,Ниже медианы
Нигерия,227882899,4.88,Ниже медианы
Северная Македония,1831749,5.50,Ниже медианы
Норвегия,5519123,7.26,Выше медианы
Оман,5049214,6.20,Выше медианы
Пакистан,247504458,4.77,Ниже медианы
Палестина,5409153,4.78,Ниже медианы
Панама,4458719,6.41,Выше медианы
Парагвай,6844101,6.17,Выше медианы
Перу,33845565,5.95,Выше медианы
Филиппины,114891152,6.11,Выше медианы
Польша,38762796,6.67,Выше медианы
Португалия,10430680,6.01,Выше медианы
Румыния,19118433,6.56,Выше медианы
Россия,145440454,5.95,Выше медианы
Руанда,13954429,3.27,Ниже медианы
Саудовская Аравия,33264239,6.60,Выше медианы
Сенегал,18077527,4.86,Ниже медианы
Сербия,6773156,6.61,Выше медианы
Сьерра-Леоне,8460469,3.00,Ниже медианы
Сингапур,5789037,6.57,Выше медианы
Словакия,5518008,6.22,Выше медианы
Словения,2118353,6.79,Выше медианы
Сомали,18358576,4.35,Ниже медианы
ЮАР,63212339,5.21,Ниже медианы
Южная Корея,51748695,6.04,Выше медианы
Южный Судан,11483321,2.82,Ниже медианы
Испания,47911535,6.47,Выше медианы
Шри-Ланка,22971566,3.89,Ниже медианы
Швеция,10551441,7.34,Выше медианы
Швейцария,8870520,6.93,Выше медианы
Тайвань,23317100,6.67,Выше медианы
Таджикистан,10389764,5.41,Ниже медианы
Танзания,66617556,3.80,Ниже медианы
Таиланд,71702397,6.22,Выше медианы
Того,9304289,4.32,Ниже медианы
Тринидад и Тобаго,1502887,5.91,Выше медианы
Тунис,12200387,4.55,Ниже медианы
Турция,87270451,5.26,Ниже медианы
Туркменистан,7364394,5.47,Ниже медианы
Уганда,48656550,4.46,Ниже медианы
Украина,37732781,4.68,Ниже медианы
Объединенные Арабские Эмираты,10642052,6.76,Выше медианы
Великобритания,68682907,6.73,Выше медианы
Соединенные Штаты,343477286,6.72,Выше медианы
Уругвай,3388029,6.66,Выше медианы
Узбекистан,35652264,6.19,Выше медианы
Венесуэла,28300815,5.68,Ниже медианы
Вьетнам,100352143,6.35,Выше медианы
Йемен,39390750,3.56,Ниже медианы
Замбия,20723923,3.91,Ниже медианы
Зимбабве,16340778,3.40,Ниже медианы